sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1480;SK0322516627;Banska Bela;Banska Bela;Banska Bela;516627
1481;SK0322516643;Banska Stiavnica;Banska Stiavnica;Banska Stiavnica;516643
1482;SK0322516651;Bansky Studenec;Bansky Studenec;Bansky Studenec;516651
1483;SK0322516678;Beluj;Beluj;Beluj;516678
1484;SK0322516716;Dekys;Dekys;Dekys;516716
1485;SK0322516856;Ilija;Ilija;Ilija;516856
1486;SK0322516953;Kozelnik;Kozelnik;Kozelnik;516953
1487;SK0322517071;Mociar;Mociar;Mociar;517071
1488;SK0322517143;Podhorie;Podhorie;Podhorie;517143
1489;SK0322517160;Pocuvadlo;Pocuvadlo;Pocuvadlo;517160
1490;SK0322517178;Prencov;Prencov;Prencov;517178
1491;SK0322517283;Stiavnicke Bane;Stiavnicke Bane;Stiavnicke Bane;517283
1492;SK0322517372;Vysoka;Vysoka;Vysoka;517372
1493;SK0323508446;Bacuch;Bacuch;Bacuch;508446
1494;SK0323508462;Benus;Benus;Benus;508462
1495;SK0323508489;Bravacovo;Bravacovo;Bravacovo;508489
1496;SK0323508497;Brezno;Brezno;Brezno;508497
1497;SK0323508527;Cierny Balog;Cierny Balog;Cierny Balog;508527
1498;SK0323508535;Dolna Lehota;Dolna Lehota;Dolna Lehota;508535
1499;SK0323508578;Drabsko;Drabsko;Drabsko;508578
1500;SK0323508608;Helpa;Helpa;Helpa;508608
1501;SK0323508624;Horna Lehota;Horna Lehota;Horna Lehota;508624
1502;SK0323508667;Hronec;Hronec;Hronec;508667
1503;SK0323508691;Jaraba;Jaraba;Jaraba;508691
1504;SK0323508705;Jasenie;Jasenie;Jasenie;508705
1505;SK0323508730;Lom nad Rimavicou;Lom nad Rimavicou;Lom nad Rimavicou;508730
1506;SK0323508772;Michalova;Michalova;Michalova;508772
1507;SK0323508811;Myto pod Dumbierom;Myto pod Dumbierom;Myto pod Dumbierom;508811
1508;SK0323508829;Nemecka;Nemecka;Nemecka;508829
1509;SK0323508845;Osrblie;Osrblie;Osrblie;508845
1510;SK0323508853;Podbrezova;Podbrezova;Podbrezova;508853
1511;SK0323508870;Pohorela;Pohorela;Pohorela;508870
1512;SK0323508888;Pohronska Polhora;Pohronska Polhora;Pohronska Polhora;508888
1513;SK0323508900;Polomka;Polomka;Polomka;508900
1514;SK0323508934;Predajna;Predajna;Predajna;508934
1515;SK0323508951;Raztoka;Raztoka;Raztoka;508951
1516;SK0323508993;Sihla;Sihla;Sihla;508993
1517;SK0323509043;Sumiac;Sumiac;Sumiac;509043
1518;SK0323509051;Telgart;Telgart;Telgart;509051
1519;SK0323509086;Valaska;Valaska;Valaska;509086
1520;SK0323509094;Valkovna;Valkovna;Valkovna;509094
1521;SK0323509124;Zavadka nad Hronom;Zavadka nad Hronom;Zavadka nad Hronom;509124
1522;SK0323557251;Bystra;Bystra;Bystra;557251
1523;SK0324511510;Latky;Latky;Latky;511510
1524;SK0324511731;Podkrivan;Podkrivan;Podkrivan;511731
1525;SK0324518263;Detva;Detva;Detva;518263
1526;SK0324518271;Detvianska Huta;Detvianska Huta;Detvianska Huta;518271
1527;SK0324518379;Dubravy;Dubravy;Dubravy;518379
1528;SK0324518450;Horny Tisovnik;Horny Tisovnik;Horny Tisovnik;518450
1529;SK0324518468;Hrinova;Hrinova;Hrinova;518468
1530;SK0324518492;Klokoc;Klokoc;Klokoc;518492
1531;SK0324518549;Krivan;Krivan;Krivan;518549
1532;SK0324518794;Slatinske Lazy;Slatinske Lazy;Slatinske Lazy;518794
1533;SK0324518816;Stara Huta;Stara Huta;Stara Huta;518816
1534;SK0324518824;Stozok;Stozok;Stozok;518824
1535;SK0324518921;Viglas;Viglas;Viglas;518921
1536;SK0324518930;Viglasska Huta-Kalinka;Viglasska Huta-Kalinka;Viglasska Huta-Kalinka;518930
1537;SK0324580520;Korytarky;Korytarky;Korytarky;580520
1538;SK0325518212;Bzovik;Bzovik;Bzovik;518212
1539;SK0325518239;Cerovo;Cerovo;Cerovo;518239
1540;SK0325518247;Cabradsky Vrbovok;Cabradsky Vrbovok;Cabradsky Vrbovok;518247
1541;SK0325518255;Cekovce;Cekovce;Cekovce;518255
1542;SK0325518280;Devicie;Devicie;Devicie;518280
1543;SK0325518301;Dolne Mladonice;Dolne Mladonice;Dolne Mladonice;518301
1544;SK0325518310;Dolny Badin;Dolny Badin;Dolny Badin;518310
1545;SK0325518336;Domaniky;Domaniky;Domaniky;518336
1546;SK0325518344;Drazovce;Drazovce;Drazovce;518344
1547;SK0325518352;Drienovo;Drienovo;Drienovo;518352
1548;SK0325518387;Dudince;Dudince;Dudince;518387
1549;SK0325518409;Hontianske Moravce;Hontianske Moravce;Hontianske Moravce;518409
1550;SK0325518417;Hontianske Nemce;Hontianske Nemce;Hontianske Nemce;518417
1551;SK0325518425;Hontianske Tesare;Hontianske Tesare;Hontianske Tesare;518425
1552;SK0325518433;Horne Mladonice;Horne Mladonice;Horne Mladonice;518433
1553;SK0325518441;Horny Badin;Horny Badin;Horny Badin;518441
1554;SK0325518484;Jalsovik;Jalsovik;Jalsovik;518484
1555;SK0325518514;Kozi Vrbovok;Kozi Vrbovok;Kozi Vrbovok;518514
1556;SK0325518531;Kralovce-Krnisov;Kralovce-Krnisov;Kralovce-Krnisov;518531
1557;SK0325518557;Krupina;Krupina;Krupina;518557
1558;SK0325518565;Lackov;Lackov;Lackov;518565
1559;SK0325518573;Ladzany;Ladzany;Ladzany;518573
1560;SK0325518603;Lisov;Lisov;Lisov;518603
1561;SK0325518611;Litava;Litava;Litava;518611
1562;SK0325518646;Medovarce;Medovarce;Medovarce;518646
1563;SK0325518701;Rykyncice;Rykyncice;Rykyncice;518701
1564;SK0325518735;Sebechleby;Sebechleby;Sebechleby;518735
1565;SK0325518743;Selce;Selce;Selce;518743
1566;SK0325518751;Senohrad;Senohrad;Senohrad;518751
1567;SK0325518832;Sudince;Sudince;Sudince;518832
1568;SK0325518841;Sudovce;Sudovce;Sudovce;518841
1569;SK0325518867;Terany;Terany;Terany;518867
1570;SK0325518883;Trpin;Trpin;Trpin;518883
1571;SK0325518905;Unatin;Unatin;Unatin;518905
1572;SK0325518956;Zemiansky Vrbovok;Zemiansky Vrbovok;Zemiansky Vrbovok;518956
1573;SK0325518999;Zibritov;Zibritov;Zibritov;518999
1574;SK0326511218;Lucenec;Lucenec;Lucenec;511218
1575;SK0326511226;Abelova;Abelova;Abelova;511226
1576;SK0326511234;Belina;Belina;Belina;511234
1577;SK0326511251;Bolkovce;Bolkovce;Bolkovce;511251
1578;SK0326511277;Budina;Budina;Budina;511277
1579;SK0326511293;Buzitka;Buzitka;Buzitka;511293
1580;SK0326511323;Cakanovce;Cakanovce;Cakanovce;511323
1581;SK0326511331;Camovce;Camovce;Camovce;511331
1582;SK0326511358;Divin;Divin;Divin;511358
1583;SK0326511366;Dobroc;Dobroc;Dobroc;511366
1584;SK0326511374;Kotmanova;Kotmanova;Kotmanova;511374
